Date,Open,High,Low,Close
4/16/2019,5029.99,5229.97,5016.45,5202.9
4/15/2019,5164.27,5193.01,4945.54,5029.99
4/14/2019,5066.22,5191.19,5013.81,5164.27
4/13/2019,5078.19,5123.28,5036.74,5066.22
4/12/2019,5040.12,5118.56,4901.99,5078.19
4/11/2019,5318.58,5342.74,4967.24,5040.12
4/10/2019,5193.49,5488,5164.49,5318.58
4/9/2019,5285.54,5287,5145,5193.49
4/8/2019,5194.79,5352.5,5132.28,5285.54
4/7/2019,5044.13,5270.33,5029.7,5194.79
4/6/2019,5040.66,5244.04,4925,5044.13
4/5/2019,4907.3,5066.59,4887.34,5040.66
4/4/2019,4975.97,5071.34,4778.84,4907.3
4/3/2019,4901.93,5345,4787.11,4975.97
4/2/2019,4137.01,5100.78,4133.15,4901.93
4/1/2019,4094.99,4149.5,4051.53,4137.01
3/19/2019,3970.5,3984.58,3969.58,3975.01
3/18/2019,3967.01,4015.7,3937.69,3970.5
3/17/2019,3990,3991,3936.3,3967.01
3/16/2019,3902.8,4037.47,3900.93,3990
3/15/2019,3853.95,3910,3846.79,3902.8
3/14/2019,3851.02,3900,3779.28,3853.95
3/13/2019,3860,3871.02,3827.5,3851.02
3/12/2019,3849.68,3875.33,3798.16,3860
3/11/2019,3900.92,3911.83,3817.01,3849.68
3/10/2019,3917,3917,3867.84,3900.92
3/9/2019,3843.12,3947.33,3834.59,3917
3/8/2019,3857.05,3910.88,3771,3843.12
3/7/2019,3851.89,3891,3830.79,3857.05
3/6/2019,3844.59,3894.7,3812,3851.89
3/5/2019,3700.72,3874.98,3692.36,3844.59
3/4/2019,3786.93,3804.99,3672.39,3700.72
3/3/2019,3809.7,3815.48,3763.62,3786.93
3/2/2019,3806.17,3818.08,3763,3809.7
3/1/2019,3792.14,3843,3791.31,3806.17
2/28/2019,3799.92,3899.99,3755.21,3792.14
2/27/2019,3799.48,3823.13,3655,3799.92
2/26/2019,3818.79,3826.37,3763.71,3799.48
2/25/2019,3734.22,3860,3731.09,3818.79
2/24/2019,4110,4188.79,3712.84,3734.22
2/23/2019,3942.02,4156.1,3911.3,4110
2/22/2019,3897.71,3956.43,3886.15,3942.02
2/21/2019,3938.99,3988,3869.45,3897.71
2/20/2019,3888.01,3967.19,3867.13,3938.99
2/19/2019,3867,3969.54,3841.54,3888.01
2/18/2019,3625.08,3917,3616.18,3867
2/17/2019,3582.37,3675,3557.43,3625.08
2/16/2019,3566.59,3607.36,3565.5,3582.37
2/15/2019,3561.5,3620.22,3545.89,3566.59
2/14/2019,3576.68,3589,3535.1,3561.5
2/13/2019,3588.06,3627.99,3562.98,3576.68
2/12/2019,3590.36,3618.77,3550,3588.06
2/11/2019,3648.85,3652,3579.38,3590.36
2/10/2019,3623.73,3654.28,3578.59,3648.85
2/9/2019,3622,3642.11,3597,3623.73
2/8/2019,3359,3711,3344,3622
2/7/2019,3367.36,3383.14,3352.01,3359
2/6/2019,3428.4,3441,3340.8,3367.36
2/5/2019,3409.57,3429.46,3400,3428.4
2/4/2019,3414.78,3435,3395.1,3409.57
2/3/2019,3468.43,3471.76,3386.45,3414.78
2/2/2019,3437.5,3483.24,3414.49,3468.43
2/1/2019,3411.49,3458.26,3369.62,3437.5
1/31/2019,3437.55,3473.4,3396.74,3411.49
1/30/2019,3397.42,3459.41,3373.35,3437.55
1/29/2019,3429.95,3438.4,3337.87,3397.42
1/28/2019,3531.01,3535.92,3374.02,3429.95
1/27/2019,3556.07,3562.9,3471.98,3531.01
1/26/2019,3562.18,3657.76,3540,3556.07
1/25/2019,3568.97,3578.79,3510.01,3562.18
1/24/2019,3553.01,3595.83,3530.1,3568.97
1/23/2019,3577.03,3614.47,3523.64,3553.01
1/22/2019,3531.76,3611.5,3425,3577.03
1/21/2019,3536.19,3568.95,3487.37,3531.76
